Image Identifier,Path,Filename,Marker,"Size category (Small, Medium, Large)",age (3 or 4 days),cotyledon width value (um),"stretch time point (t0, t5, no stretch)",Successfully stretched for 7h with all intermediate pictures available?,Control t0+t5,midline angle,number of brx cells in ROI set,"author that collected the image (WB, JC, or MY)",Flipped_t0,Flipped_channels,Replicate,Scale,Any extra notes?,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_09,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_09,basl_basl,,3,550,no stretch,,,42.3,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_10,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_10,basl_basl,,3,564,no stretch,,,-108.1,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_12,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_12,basl_basl,,3,700,no stretch,,,-1.69999999999999,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_22,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_22,basl_basl,,3,589,no stretch,,,-66.4,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_27,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_27,basl_basl,,3,716,no stretch,,,-5.59999999999999,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_29,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_29,basl_basl,,3,744,no stretch,,,-92,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_30,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_30,basl_basl,,3,608,no stretch,,,160,,JC,,,,,,
basl_basl_pm_28_sept_21.lif - basl_basl_pm_2,Native_BASL/unstretched_untracked,basl_basl_pm_28_sept_21.lif - basl_basl_pm_02,basl_basl,,3,628,no stretch,,,-67.6,,,,,,,,
basl_basl_pm_28_sept_21.lif - basl_basl_pm_3,Native_BASL/unstretched_untracked,basl_basl_pm_28_sept_21.lif - basl_basl_pm_03,basl_basl,,3,632,no stretch,,,88.8,,,,,,,,
basl_basl_pm_28_sept_21.lif - basl_basl_pm_7,Native_BASL/unstretched_untracked,basl_basl_pm_28_sept_21.lif - basl_basl_pm_07,basl_basl,,3,800,no stretch,,,-167.9,,,,,,,,
1-basl-R,Ectopic_BASL/unstretched_untracked,1-basl-R,35S_basl,,,,no stretch,,,129,,,0,,,0.6918,,
1-basl-t0,Ectopic_BASL/unstretched_untracked,1-basl-t0,35S_basl,,,,no stretch,,,2.3,,,0,,,,,
2-basl-t0 L,Ectopic_BASL/unstretched_untracked,2-basl-t0 L,35S_basl,,,,no stretch,,,-99.1,,,0,,,,,
S1-basl-t0,Ectopic_BASL/stretched/ds1,1-basl-t0,35S_basl,,,,t0,Y,,85.819,,,0,,,,,
S1-basl-t3,Ectopic_BASL/stretched/ds1,1-basl-t3,35S_basl,,,,t5,Y,,79.716,,,0,,,,,
S2-basl-t0,Ectopic_BASL/unstretched_untracked,2-basl-t0,35S_basl,,,,no stretch,,,-96.894,,,0,,,,,
S-basl-t0,Ectopic_BASL/unstretched_untracked,basl-t0,35S_basl,,,,no stretch,,,-79.859,,,0,,,,,
